YearBuilt,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SiteEnergyUseWN(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,ProportionParkingGFA,ProportionElectricity(kBtu),ProportionNaturalGas(kBtu),ProportionSteamUse(kBtu),Distribution Center,Hospital,Hotel,K-12 School,Laboratory,Large Office,Medical Office,Mixed Use Property,Office,Other,Refrigerated Warehouse,Residence Hall,Restaurant,Retail Store,Self-Storage Facility,Senior Care Community,Small- and Mid-Sized Office,Supermarket / Grocery Store,University,Warehouse,Worship Facility
84,2,262048,73.0,20823520.0,490.73,1.87,0.0,0.6520544462914307,0.0,0.24789646873887722,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,2,66240,73.0,4192107.75,29.04,0.44,0.035507246376811595,0.9999996999740478,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45,4,76213,68.0,3647345.75,48.76,0.64,0.3402306693083857,0.8470978111953743,0.15290204496992058,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,6,96910,56.0,5274523.0,152.14,1.57,0.3811164998452172,0.5114879183546878,0.48851217862782736,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,4,50017,53.0,5528580.5,191.2,3.82,0.0,0.3905883216568254,0.6094116783431747,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,3,67743,34.0,3036464.0,78.85,1.16,0.0,0.5054201570982277,0.49457984290177226,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,6,194104,100.0,7204080.0,243.23,1.25,0.0,0.30352750950325663,0.6964725708846439,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3,99433,63.0,4980737.5,34.14,0.34,0.35955869781662025,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
58,1,130862,61.0,7300977.5,238.48,1.82,0.0,0.35049734929815957,0.6495028055958882,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,3,59955,93.0,1749171.25,20.48,0.34,0.0,0.8794028098608768,0.12059696055656934,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2,93218,86.0,3216155.0,84.75,0.91,0.0,0.5149138045682747,0.48508619543172526,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,4,56521,73.0,6367210.0,44.32,0.78,0.0,0.9999998427087318,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
83,2,206934,73.0,4384625.5,133.58,0.65,0.0,0.4704517550226838,0.5295481274292052,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
